Category	Dream (M)	Wake (M)
Clout	41.771	25.39
Emotional Tone	30.706	39.328
Words > 6 Letters	13.872	15.809
Function	59.281	56.159
1st pers singular	10.195	12.279
1st pers plural	1.3	0.604
3rd pers singular	2.313	0.994
3rd pers plural	0.686	0.332
Impersonal pronouns	4.24	3.43
Articles	7.026	5.684
Negations	1.154	0.765
Positive Emotion	1.668	2.38
Social processes	10.235	6.246
Family	0.846	0.315
Female references	1.774	0.836
Male references	1.766	0.657
Causation	1.174	1.615
Certainty	1.14	0.709
Differentiation	2.944	2.164
Feel	0.951	1.907
Biological processes	1.843	3.016
Health	0.341	0.646
Ingestion	0.646	1.408
Drives	7.528	6.503
Affiliation	3.48	2.162
Power	2.015	1.309
Reward	1.231	1.771
Past focus	10.712	9.153
Present focus	4.821	6.483
Space	9.494	7.975
Time	4.731	6.702
Work	1.557	3.394
Authentic	83.378	89.14
Perceptual processes	3.652	4.42
Motion	3.448	2.79
Friend	1.186	0.845
Common adverbs	5.003	5.68
See	1.614	1.183
Affective Processes	3.558	4.261
Dictionary Words	91.287	92.189
Parentheses	0.384	0.201
Commas	2.511	2.952
Question marks	0.085	0.017
Quotation marks	0.085	0.017
Achievement	0.95	1.216
Colons	0.021	0.078
Auxiliary Verbs	8.195	7.51
Future focus	1.101	1.351
Home	1.578	1.915
Periods	6.64	6.8
Numbers	0.907	1.156
Adjectives	3.789	4.169
Sexuality	0.082	0.014
Comparatives	1.762	1.524
Common Verbs	18.964	19.535
2nd person	0.098	0.05
Dashes	0.277	0.205
Nonfluencies	0.064	0.103
Prepositions	14.266	14.599
All punctuation	11.163	11.529
Insight	2.714	2.927
Hear	0.959	1.112
Cognitive processes	10.312	9.88
Quantifiers	1.718	1.848
Death	0.081	0.051
Apostrophes	0.933	0.846
Money	0.301	0.37
Body	0.795	0.922
Discrepancies	0.97	1.075
Exclamation marks	0.049	0.03
Personal Pronouns	14.585	14.258
Total pronouns	14.585	14.258
Netspeak	0.11	0.079
Conjunctions	7.869	8.039
Risk focus	0.365	0.325
Relativity	17.291	16.929
Interrogatives	1.282	1.209
Anger	0.447	0.397
Leisure	2.321	2.192
Religion	0.043	0.06
Fillers	0.009	0.013
Semicolons	0.041	0.052
Tentative	2.07	1.998
Other punctuation	0.169	0.151
Sadness	0.359	0.326
Swear Words	0.042	0.034
Assent	0.043	0.051
Analytical Thinking	51.35	52.168
Negative emotion	1.829	1.775
Anxiety	0.659	0.63
Informal speech	0.284	0.285
